RHEA_ID	DIRECTION	MASTER_ID	ID
20697	LR	20696	R-HSA-3299680.1
20697	LR	20696	R-HSA-3299682.1
20697	LR	20696	R-HSA-3299691.1
20697	LR	20696	R-HSA-3777112.1
20781	LR	20780	R-HSA-73788.4
20782	RL	20780	R-HSA-110133.4
20825	LR	20824	R-HSA-109624.3
20841	LR	20840	R-HSA-977301.1
20941	LR	20940	R-HSA-1855197.2
20941	LR	20940	R-HSA-2267372.2
20965	LR	20964	R-HSA-893583.1
21017	LR	21016	R-HSA-6797627.1
21037	LR	21036	R-HSA-73916.3
21037	LR	21036	R-HSA-8848215.2
21038	RL	21036	R-HSA-74181.2
21081	LR	21080	R-HSA-174391.1
21081	LR	21080	R-HSA-5603114.1
21133	LR	21132	R-HSA-74258.2
21162	RL	21160	R-HSA-75848.4
21209	LR	21208	R-HSA-977324.1
21233	LR	21232	R-HSA-70899.3
21285	LR	21284	R-HSA-5362518.1
21285	LR	21284	R-HSA-5362564.1
21361	LR	21360	R-HSA-8939959.1
21381	LR	21380	R-HSA-389622.1
21433	LR	21432	R-HSA-198508.2
21433	LR	21432	R-HSA-70979.2
21434	RL	21432	R-HSA-71783.2
21538	RL	21536	R-HSA-70785.2
21645	LR	21644	R-HSA-75887.2
21701	LR	21700	R-HSA-1237129.1
21825	LR	21824	R-HSA-70592.3
21825	LR	21824	R-HSA-70596.2
21826	RL	21824	R-HSA-70581.2
21826	RL	21824	R-HSA-70613.2
21845	LR	21844	R-HSA-177160.2
22122	RL	22120	R-HSA-71775.2
22157	LR	22156	R-HSA-8851356.2
22157	LR	22156	R-HSA-8851396.2
22193	LR	22192	R-HSA-73798.2
22233	LR	22232	R-HSA-191402.1
22325	LR	22324	R-HSA-266072.1
22385	LR	22384	R-HSA-1855198.2
22409	LR	22408	R-HSA-191322.1
22485	LR	22484	R-HSA-5696197.1
22629	LR	22628	R-HSA-73805.2
22673	LR	22672	R-HSA-191405.1
22861	LR	22860	R-HSA-197235.3
22861	LR	22860	R-HSA-200474.3
22861	LR	22860	R-HSA-200512.3
22889	LR	22888	R-HSA-71010.2
22925	LR	22924	R-HSA-73596.3
22965	LR	22964	R-HSA-70692.1
23033	LR	23032	R-HSA-73810.2
23101	LR	23100	R-HSA-74220.4
23102	RL	23100	R-HSA-110141.4
23177	LR	23176	R-HSA-449911.1
23177	LR	23176	R-HSA-71735.1
23177	LR	23176	R-HSA-8875071.1
23261	LR	23260	R-HSA-2161789.2
23265	LR	23264	R-HSA-2161789.2
23285	LR	23284	R-HSA-191382.1
23297	LR	23296	R-HSA-4085217.1
23445	LR	23444	R-HSA-70510.4
23446	RL	23444	R-HSA-6807826.2
23446	RL	23444	R-HSA-71849.5
23453	LR	23452	R-HSA-109624.3
23453	LR	23452	R-HSA-109671.3
23453	LR	23452	R-HSA-74207.3
23517	LR	23516	R-HSA-6799495.1
23581	LR	23580	R-HSA-76496.2
23633	LR	23632	R-HSA-70967.3
23661	LR	23660	R-HSA-70906.2
23701	LR	23700	R-HSA-6801462.1
23725	LR	23724	R-HSA-3204311.1
23733	LR	23732	R-HSA-191414.1
23821	LR	23820	R-HSA-6787632.1
23845	LR	23844	R-HSA-8959719.2
23885	LR	23884	R-HSA-5359451.1
23921	LR	23920	R-HSA-73800.2
24021	LR	24020	R-HSA-70573.2
24029	LR	24028	R-HSA-71261.3
